date,compound,pos,neg,neu,article_count
2025-08-12,0.0709,0.11233333333333333,0.08,0.8075,6
2025-08-13,0.46881666666666666,0.14016666666666666,0.0095,0.8503333333333334,6
2025-08-14,-0.14398333333333335,0.09699999999999999,0.12666666666666668,0.7758333333333334,6
2025-08-15,0.2485,0.11253846153846155,0.034076923076923074,0.8533846153846153,13
2025-08-16,0.159,0.061399999999999996,0.0252,0.9134,5
2025-08-17,0.19733333333333333,0.09100000000000001,0.0,0.9089999999999999,3
2025-08-18,-0.08718571428571428,0.018714285714285715,0.05914285714285714,0.9221428571428572,7
2025-08-19,-0.2616,0.0345,0.11399999999999999,0.8514999999999999,2
2025-08-20,0.1146,0.09754545454545455,0.03972727272727273,0.8627272727272728,11
2025-08-21,-0.02666666666666667,0.07533333333333334,0.08916666666666667,0.8355,6
2025-08-22,0.04563333333333333,0.05155555555555555,0.04733333333333333,0.9011111111111111,9
2025-08-24,0.0,0.0,0.0,1.0,3
2025-08-25,0.32535,0.15466666666666665,0.0,0.8453333333333334,6
2025-08-26,0.5281857142857144,0.259,0.007571428571428571,0.7334285714285714,7
2025-08-27,0.26720714285714287,0.1442142857142857,0.022714285714285715,0.8330714285714286,14
2025-08-28,0.3563714285714286,0.12814285714285714,0.011142857142857144,0.8607142857142858,7
2025-08-29,0.3685375,0.114375,0.012625,0.873,8
2025-08-30,0.17041666666666666,0.10383333333333333,0.052333333333333336,0.8438333333333333,6
2025-08-31,-0.0286,0.0,0.043,0.9570000000000001,2
2025-09-01,0.23290000000000002,0.1352,0.0744,0.7904,5
2025-09-02,0.3973333333333333,0.13983333333333334,0.043500000000000004,0.8170000000000001,6
2025-09-03,0.09075,0.07633333333333334,0.050666666666666665,0.8729999999999999,6
2025-09-04,0.12765,0.0355,0.0,0.9645,4
2025-09-05,0.19926363636363637,0.14454545454545456,0.059454545454545454,0.7959090909090908,11
2025-09-06,0.5541,0.2834,0.0,0.7166,5
2025-09-07,0.3402,0.25366666666666665,0.0,0.7463333333333333,3
2025-09-08,0.35544444444444445,0.13622222222222222,0.042,0.8218888888888889,9
2025-09-09,0.30575,0.153,0.0451,0.8018000000000001,10
2025-09-10,0.12444000000000002,0.1028,0.08120000000000001,0.8160000000000001,5
2025-09-11,0.43694999999999995,0.25983333333333336,0.033,0.7071666666666667,6
2025-09-12,0.11801428571428572,0.09042857142857143,0.03885714285714286,0.8707142857142857,7
2025-09-13,-0.030328571428571427,0.036,0.059857142857142866,0.9041428571428572,7
2025-09-14,0.13983076923076923,0.1223076923076923,0.04392307692307692,0.8337692307692308,13
2025-09-15,0.1964923076923077,0.12161538461538461,0.008153846153846154,0.8702307692307693,13
2025-09-16,0.13823333333333335,0.09599999999999999,0.011999999999999999,0.892,6
2025-09-17,0.241075,0.134,0.04,0.8260000000000001,4
2025-09-18,-0.209475,0.028999999999999998,0.06525,0.906,4
2025-09-19,0.03371111111111111,0.082,0.050444444444444445,0.8675555555555555,9
2025-09-20,0.39694999999999997,0.19716666666666668,0.0,0.8028333333333334,6
2025-09-21,0.4923375,0.292625,0.006,0.701375,8
2025-09-22,-0.042877777777777765,0.07988888888888888,0.05544444444444444,0.8645555555555555,9
2025-09-23,0.2576333333333333,0.15858333333333333,0.0625,0.7789166666666666,12
2025-09-24,0.29165,0.1529,0.022,0.8251,10
2025-09-25,0.23535714285714285,0.12157142857142857,0.0,0.8784285714285714,7
2025-09-26,0.05135,0.023,0.0,0.977,2
2025-09-27,-0.2732,0.0,0.231,0.769,1
2025-09-28,0.2023,0.087,0.0,0.913,1
2025-09-29,0.22127142857142856,0.12999999999999998,0.03742857142857143,0.8324285714285714,7
2025-09-30,0.07556666666666667,0.11533333333333333,0.016,0.8686666666666666,3
2025-10-01,0.10770000000000002,0.172,0.04,0.788,2
2025-10-02,0.10410000000000001,0.11633333333333333,0.025166666666666667,0.8584999999999999,6
2025-10-03,0.12091428571428571,0.1437142857142857,0.044,0.8122857142857143,7
2025-10-04,0.0,0.0,0.0,1.0,1
2025-10-05,0.4768333333333333,0.19883333333333333,0.0,0.8011666666666667,6
2025-10-06,0.157,0.12175,0.037,0.84125,4
2025-10-07,0.3278666666666667,0.15433333333333335,0.034333333333333334,0.8113333333333334,3
2025-10-08,0.510775,0.20600000000000002,0.06924999999999999,0.72475,4
2025-10-09,0.064625,0.0235,0.03725,0.93925,4
2025-10-10,0.21314999999999998,0.16483333333333333,0.024833333333333332,0.8103333333333333,6
2025-10-11,0.15296666666666667,0.19533333333333333,0.081,0.7236666666666668,3
2025-10-12,0.263,0.1226,0.0,0.8774000000000001,5
2025-10-13,0.15030000000000002,0.12033333333333333,0.04666666666666667,0.8330000000000001,3
2025-10-14,0.33843999999999996,0.11000000000000001,0.0,0.89,5
2025-10-15,0.17862499999999998,0.194,0.082,0.724,4
2025-10-16,0.20505454545454543,0.1749090909090909,0.023181818181818182,0.8019999999999999,11
2025-10-17,0.2313,0.12833333333333333,0.023666666666666666,0.8478888888888889,9
2025-10-18,0.5710000000000001,0.2786666666666667,0.0,0.7213333333333334,3
2025-10-19,0.2385125,0.14,0.0,0.86,8
2025-10-20,0.3552666666666666,0.164,0.0,0.836,3
2025-10-21,-0.050859999999999995,0.0324,0.053000000000000005,0.9145999999999999,5
2025-10-22,0.026519999999999988,0.06820000000000001,0.0712,0.8603999999999999,5
2025-10-23,0.1282,0.13616666666666669,0.07133333333333335,0.7923333333333332,6
2025-10-24,0.0483125,0.060875,0.056,0.8831249999999999,8
2025-10-25,0.0,0.0,0.0,1.0,2
2025-10-26,0.568775,0.33425,0.0,0.66575,4
2025-10-27,0.19788571428571428,0.10442857142857143,0.012857142857142857,0.8825714285714286,7
2025-10-28,0.18076666666666666,0.032,0.0,0.968,3
2025-10-29,0.22598000000000001,0.1488,0.0,0.8512000000000001,5
2025-10-30,0.06743333333333333,0.028999999999999998,0.0,0.9710000000000001,3
2025-10-31,0.11366666666666665,0.12366666666666666,0.04633333333333334,0.8300000000000001,3
2025-11-01,0.22693333333333332,0.063,0.016333333333333335,0.9206666666666666,3
2025-11-02,0.14934999999999998,0.133,0.0475,0.8195,2
2025-11-03,0.45110000000000006,0.123,0.0,0.877,2
2025-11-04,0.0,0.0,0.0,1.0,3
2025-11-05,0.2032,0.106375,0.0,0.893625,8
2025-11-06,0.31904285714285713,0.13328571428571429,0.0,0.8667142857142858,7
2025-11-07,0.39421666666666666,0.22816666666666666,0.011333333333333334,0.7605,6
2025-11-08,0.2874909090909091,0.15454545454545454,0.0,0.8454545454545456,11
2025-11-09,0.07802499999999997,0.11725,0.15575,0.727,4
2025-11-10,0.3286571428571428,0.16364285714285715,0.014071428571428572,0.8222857142857143,14
2025-11-11,0.0,0.0,0.0,1.0,1
